split,filename,object_index,class_name,source_image_path,crop_path,xmin,ymin,xmax,ymax,padded_xmin,padded_ymin,padded_xmax,padded_ymax,crop_width,crop_height
train,crazing_104.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_104.jpg,C:\NEU-DET\crops\train\crazing\crazing_104_obj02_crazing.jpg,137,42,199,116,132,37,200,121,68,84
train,crazing_104.jpg,3,patches,C:\NEU-DET\train\images\crazing\crazing_104.jpg,C:\NEU-DET\crops\train\patches\crazing_104_obj03_patches.jpg,78,169,118,200,73,164,123,200,50,36
train,crazing_105.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_105.jpg,C:\NEU-DET\crops\train\crazing\crazing_105_obj00_crazing.jpg,4,3,113,134,0,0,118,139,118,139
train,crazing_105.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_105.jpg,C:\NEU-DET\crops\train\crazing\crazing_105_obj01_crazing.jpg,133,1,197,149,128,0,200,154,72,154
train,crazing_105.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_105.jpg,C:\NEU-DET\crops\train\crazing\crazing_105_obj02_crazing.jpg,59,1,197,45,54,0,200,50,146,50
train,crazing_105.jpg,3,inclusion,C:\NEU-DET\train\images\crazing\crazing_105.jpg,C:\NEU-DET\crops\train\inclusion\crazing_105_obj03_inclusion.jpg,5,91,121,125,0,86,126,130,126,44
train,crazing_106.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_106.jpg,C:\NEU-DET\crops\train\crazing\crazing_106_obj00_crazing.jpg,1,24,127,101,0,19,132,106,132,87
train,crazing_106.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_106.jpg,C:\NEU-DET\crops\train\crazing\crazing_106_obj01_crazing.jpg,16,120,189,156,11,115,194,161,183,46
train,crazing_106.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_106.jpg,C:\NEU-DET\crops\train\crazing\crazing_106_obj02_crazing.jpg,113,152,177,188,108,147,182,193,74,46
train,crazing_107.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_107.jpg,C:\NEU-DET\crops\train\crazing\crazing_107_obj00_crazing.jpg,112,46,199,138,107,41,200,143,93,102
train,crazing_107.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_107.jpg,C:\NEU-DET\crops\train\crazing\crazing_107_obj01_crazing.jpg,2,1,105,79,0,0,110,84,110,84
train,crazing_107.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_107.jpg,C:\NEU-DET\crops\train\crazing\crazing_107_obj02_crazing.jpg,11,146,127,199,6,141,132,200,126,59
train,crazing_108.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_108.jpg,C:\NEU-DET\crops\train\crazing\crazing_108_obj00_crazing.jpg,3,21,69,149,0,16,74,154,74,138
train,crazing_108.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_108.jpg,C:\NEU-DET\crops\train\crazing\crazing_108_obj01_crazing.jpg,90,115,198,193,85,110,200,198,115,88
train,crazing_109.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_109.jpg,C:\NEU-DET\crops\train\crazing\crazing_109_obj00_crazing.jpg,77,1,199,42,72,0,200,47,128,47
train,crazing_109.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_109.jpg,C:\NEU-DET\crops\train\crazing\crazing_109_obj01_crazing.jpg,39,38,198,87,34,33,200,92,166,59
train,crazing_109.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_109.jpg,C:\NEU-DET\crops\train\crazing\crazing_109_obj02_crazing.jpg,32,88,145,131,27,83,150,136,123,53
train,crazing_11.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_11.jpg,C:\NEU-DET\crops\train\crazing\crazing_11_obj00_crazing.jpg,20,68,112,111,15,63,117,116,102,53
train,crazing_11.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_11.jpg,C:\NEU-DET\crops\train\crazing\crazing_11_obj01_crazing.jpg,85,12,193,70,80,7,198,75,118,68
train,crazing_11.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_11.jpg,C:\NEU-DET\crops\train\crazing\crazing_11_obj02_crazing.jpg,62,134,142,184,57,129,147,189,90,60
train,crazing_110.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_110.jpg,C:\NEU-DET\crops\train\crazing\crazing_110_obj00_crazing.jpg,105,18,193,75,100,13,198,80,98,67
train,crazing_110.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_110.jpg,C:\NEU-DET\crops\train\crazing\crazing_110_obj01_crazing.jpg,1,16,89,79,0,11,94,84,94,73
train,crazing_111.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_111.jpg,C:\NEU-DET\crops\train\crazing\crazing_111_obj00_crazing.jpg,37,28,167,109,32,23,172,114,140,91
train,crazing_111.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_111.jpg,C:\NEU-DET\crops\train\crazing\crazing_111_obj01_crazing.jpg,119,12,199,126,114,7,200,131,86,124
train,crazing_112.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_112.jpg,C:\NEU-DET\crops\train\crazing\crazing_112_obj00_crazing.jpg,14,44,123,106,9,39,128,111,119,72
train,crazing_112.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_112.jpg,C:\NEU-DET\crops\train\crazing\crazing_112_obj01_crazing.jpg,3,119,138,182,0,114,143,187,143,73
train,crazing_112.jpg,2,patches,C:\NEU-DET\train\images\crazing\crazing_112.jpg,C:\NEU-DET\crops\train\patches\crazing_112_obj02_patches.jpg,124,34,165,112,119,29,170,117,51,88
train,crazing_113.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_113.jpg,C:\NEU-DET\crops\train\crazing\crazing_113_obj00_crazing.jpg,23,134,123,186,18,129,128,191,110,62
train,crazing_113.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_113.jpg,C:\NEU-DET\crops\train\crazing\crazing_113_obj01_crazing.jpg,1,48,162,116,0,43,167,121,167,78
train,crazing_114.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_114.jpg,C:\NEU-DET\crops\train\crazing\crazing_114_obj00_crazing.jpg,41,139,169,188,36,134,174,193,138,59
train,crazing_114.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_114.jpg,C:\NEU-DET\crops\train\crazing\crazing_114_obj01_crazing.jpg,5,52,46,198,0,47,51,200,51,153
train,crazing_114.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_114.jpg,C:\NEU-DET\crops\train\crazing\crazing_114_obj02_crazing.jpg,2,16,94,91,0,11,99,96,99,85
train,crazing_115.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_115.jpg,C:\NEU-DET\crops\train\crazing\crazing_115_obj00_crazing.jpg,9,25,187,74,4,20,192,79,188,59
train,crazing_115.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_115.jpg,C:\NEU-DET\crops\train\crazing\crazing_115_obj01_crazing.jpg,24,79,109,135,19,74,114,140,95,66
train,crazing_115.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_115.jpg,C:\NEU-DET\crops\train\crazing\crazing_115_obj02_crazing.jpg,97,45,192,141,92,40,197,146,105,106
train,crazing_116.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_116.jpg,C:\NEU-DET\crops\train\crazing\crazing_116_obj00_crazing.jpg,121,13,174,69,116,8,179,74,63,66
train,crazing_116.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_116.jpg,C:\NEU-DET\crops\train\crazing\crazing_116_obj01_crazing.jpg,19,113,134,186,14,108,139,191,125,83
train,crazing_117.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_117.jpg,C:\NEU-DET\crops\train\crazing\crazing_117_obj00_crazing.jpg,12,39,154,144,7,34,159,149,152,115
train,crazing_117.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_117.jpg,C:\NEU-DET\crops\train\crazing\crazing_117_obj01_crazing.jpg,66,138,169,189,61,133,174,194,113,61
train,crazing_118.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_118.jpg,C:\NEU-DET\crops\train\crazing\crazing_118_obj00_crazing.jpg,7,144,79,188,2,139,84,193,82,54
train,crazing_118.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_118.jpg,C:\NEU-DET\crops\train\crazing\crazing_118_obj01_crazing.jpg,1,65,75,138,0,60,80,143,80,83
train,crazing_118.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_118.jpg,C:\NEU-DET\crops\train\crazing\crazing_118_obj02_crazing.jpg,44,120,178,173,39,115,183,178,144,63
train,crazing_118.jpg,3,crazing,C:\NEU-DET\train\images\crazing\crazing_118.jpg,C:\NEU-DET\crops\train\crazing\crazing_118_obj03_crazing.jpg,58,82,195,133,53,77,200,138,147,61
train,crazing_119.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_119.jpg,C:\NEU-DET\crops\train\crazing\crazing_119_obj00_crazing.jpg,72,63,193,147,67,58,198,152,131,94
train,crazing_119.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_119.jpg,C:\NEU-DET\crops\train\crazing\crazing_119_obj01_crazing.jpg,1,112,136,157,0,107,141,162,141,55
train,crazing_119.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_119.jpg,C:\NEU-DET\crops\train\crazing\crazing_119_obj02_crazing.jpg,64,14,171,58,59,9,176,63,117,54
train,crazing_119.jpg,3,crazing,C:\NEU-DET\train\images\crazing\crazing_119.jpg,C:\NEU-DET\crops\train\crazing\crazing_119_obj03_crazing.jpg,5,18,137,98,0,13,142,103,142,90
train,crazing_12.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_12.jpg,C:\NEU-DET\crops\train\crazing\crazing_12_obj00_crazing.jpg,1,1,141,50,0,0,146,55,146,55
train,crazing_12.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_12.jpg,C:\NEU-DET\crops\train\crazing\crazing_12_obj01_crazing.jpg,1,107,119,162,0,102,124,167,124,65
train,crazing_120.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_120.jpg,C:\NEU-DET\crops\train\crazing\crazing_120_obj00_crazing.jpg,83,6,178,57,78,1,183,62,105,61
train,crazing_120.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_120.jpg,C:\NEU-DET\crops\train\crazing\crazing_120_obj01_crazing.jpg,106,68,200,108,101,63,200,113,99,50
train,crazing_120.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_120.jpg,C:\NEU-DET\crops\train\crazing\crazing_120_obj02_crazing.jpg,1,81,117,146,0,76,122,151,122,75
train,crazing_120.jpg,3,crazing,C:\NEU-DET\train\images\crazing\crazing_120.jpg,C:\NEU-DET\crops\train\crazing\crazing_120_obj03_crazing.jpg,1,81,117,146,0,76,122,151,122,75
train,crazing_120.jpg,4,crazing,C:\NEU-DET\train\images\crazing\crazing_120.jpg,C:\NEU-DET\crops\train\crazing\crazing_120_obj04_crazing.jpg,91,110,199,152,86,105,200,157,114,52
train,crazing_121.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_121.jpg,C:\NEU-DET\crops\train\crazing\crazing_121_obj00_crazing.jpg,72,114,173,171,67,109,178,176,111,67
train,crazing_121.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_121.jpg,C:\NEU-DET\crops\train\crazing\crazing_121_obj01_crazing.jpg,23,21,156,72,18,16,161,77,143,61
train,crazing_122.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_122.jpg,C:\NEU-DET\crops\train\crazing\crazing_122_obj00_crazing.jpg,82,136,195,166,77,131,200,171,123,40
train,crazing_122.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_122.jpg,C:\NEU-DET\crops\train\crazing\crazing_122_obj01_crazing.jpg,44,73,109,133,39,68,114,138,75,70
train,crazing_123.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_123.jpg,C:\NEU-DET\crops\train\crazing\crazing_123_obj00_crazing.jpg,78,121,194,167,73,116,199,172,126,56
train,crazing_124.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_124.jpg,C:\NEU-DET\crops\train\crazing\crazing_124_obj00_crazing.jpg,42,24,185,71,37,19,190,76,153,57
train,crazing_124.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_124.jpg,C:\NEU-DET\crops\train\crazing\crazing_124_obj01_crazing.jpg,1,12,39,160,0,7,44,165,44,158
train,crazing_125.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_125.jpg,C:\NEU-DET\crops\train\crazing\crazing_125_obj00_crazing.jpg,71,80,193,127,66,75,198,132,132,57
train,crazing_125.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_125.jpg,C:\NEU-DET\crops\train\crazing\crazing_125_obj01_crazing.jpg,64,23,196,93,59,18,200,98,141,80
train,crazing_125.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_125.jpg,C:\NEU-DET\crops\train\crazing\crazing_125_obj02_crazing.jpg,114,66,200,177,109,61,200,182,91,121
train,crazing_126.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_126.jpg,C:\NEU-DET\crops\train\crazing\crazing_126_obj00_crazing.jpg,1,63,108,124,0,58,113,129,113,71
train,crazing_126.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_126.jpg,C:\NEU-DET\crops\train\crazing\crazing_126_obj01_crazing.jpg,90,23,198,74,85,18,200,79,115,61
train,crazing_127.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_127.jpg,C:\NEU-DET\crops\train\crazing\crazing_127_obj00_crazing.jpg,13,132,119,191,8,127,124,196,116,69
train,crazing_127.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_127.jpg,C:\NEU-DET\crops\train\crazing\crazing_127_obj01_crazing.jpg,58,24,145,115,53,19,150,120,97,101
train,crazing_128.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_128.jpg,C:\NEU-DET\crops\train\crazing\crazing_128_obj00_crazing.jpg,1,34,60,95,0,29,65,100,65,71
train,crazing_128.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_128.jpg,C:\NEU-DET\crops\train\crazing\crazing_128_obj01_crazing.jpg,89,79,156,137,84,74,161,142,77,68
train,crazing_128.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_128.jpg,C:\NEU-DET\crops\train\crazing\crazing_128_obj02_crazing.jpg,90,28,174,75,85,23,179,80,94,57
train,crazing_129.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_129.jpg,C:\NEU-DET\crops\train\crazing\crazing_129_obj00_crazing.jpg,1,76,94,123,0,71,99,128,99,57
train,crazing_129.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_129.jpg,C:\NEU-DET\crops\train\crazing\crazing_129_obj01_crazing.jpg,98,58,169,134,93,53,174,139,81,86
train,crazing_13.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_13.jpg,C:\NEU-DET\crops\train\crazing\crazing_13_obj00_crazing.jpg,71,21,140,114,66,16,145,119,79,103
train,crazing_13.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_13.jpg,C:\NEU-DET\crops\train\crazing\crazing_13_obj01_crazing.jpg,1,126,89,176,0,121,94,181,94,60
train,crazing_13.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_13.jpg,C:\NEU-DET\crops\train\crazing\crazing_13_obj02_crazing.jpg,124,117,199,173,119,112,200,178,81,66
train,crazing_130.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_130.jpg,C:\NEU-DET\crops\train\crazing\crazing_130_obj00_crazing.jpg,2,134,155,179,0,129,160,184,160,55
train,crazing_130.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_130.jpg,C:\NEU-DET\crops\train\crazing\crazing_130_obj01_crazing.jpg,2,6,84,99,0,1,89,104,89,103
train,crazing_130.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_130.jpg,C:\NEU-DET\crops\train\crazing\crazing_130_obj02_crazing.jpg,77,104,199,158,72,99,200,163,128,64
train,crazing_131.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_131.jpg,C:\NEU-DET\crops\train\crazing\crazing_131_obj00_crazing.jpg,1,21,153,76,0,16,158,81,158,65
train,crazing_131.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_131.jpg,C:\NEU-DET\crops\train\crazing\crazing_131_obj01_crazing.jpg,18,130,122,186,13,125,127,191,114,66
train,crazing_131.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_131.jpg,C:\NEU-DET\crops\train\crazing\crazing_131_obj02_crazing.jpg,131,17,194,106,126,12,199,111,73,99
train,crazing_132.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_132.jpg,C:\NEU-DET\crops\train\crazing\crazing_132_obj00_crazing.jpg,45,29,148,83,40,24,153,88,113,64
train,crazing_132.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_132.jpg,C:\NEU-DET\crops\train\crazing\crazing_132_obj01_crazing.jpg,37,89,152,149,32,84,157,154,125,70
train,crazing_133.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_133.jpg,C:\NEU-DET\crops\train\crazing\crazing_133_obj00_crazing.jpg,57,137,162,194,52,132,167,199,115,67
train,crazing_133.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_133.jpg,C:\NEU-DET\crops\train\crazing\crazing_133_obj01_crazing.jpg,47,94,169,161,42,89,174,166,132,77
train,crazing_134.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_134.jpg,C:\NEU-DET\crops\train\crazing\crazing_134_obj00_crazing.jpg,33,26,133,80,28,21,138,85,110,64
train,crazing_134.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_134.jpg,C:\NEU-DET\crops\train\crazing\crazing_134_obj01_crazing.jpg,40,89,141,148,35,84,146,153,111,69
train,crazing_135.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_135.jpg,C:\NEU-DET\crops\train\crazing\crazing_135_obj00_crazing.jpg,13,23,158,106,8,18,163,111,155,93
train,crazing_135.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_135.jpg,C:\NEU-DET\crops\train\crazing\crazing_135_obj01_crazing.jpg,50,117,178,191,45,112,183,196,138,84
train,crazing_136.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_136.jpg,C:\NEU-DET\crops\train\crazing\crazing_136_obj00_crazing.jpg,1,88,88,144,0,83,93,149,93,66
train,crazing_136.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_136.jpg,C:\NEU-DET\crops\train\crazing\crazing_136_obj01_crazing.jpg,126,111,191,184,121,106,196,189,75,83
train,crazing_137.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_137.jpg,C:\NEU-DET\crops\train\crazing\crazing_137_obj00_crazing.jpg,32,78,164,136,27,73,169,141,142,68
train,crazing_137.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_137.jpg,C:\NEU-DET\crops\train\crazing\crazing_137_obj01_crazing.jpg,38,140,95,192,33,135,100,197,67,62
train,crazing_137.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_137.jpg,C:\NEU-DET\crops\train\crazing\crazing_137_obj02_crazing.jpg,38,10,88,67,33,5,93,72,60,67
train,crazing_138.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_138.jpg,C:\NEU-DET\crops\train\crazing\crazing_138_obj00_crazing.jpg,26,63,141,142,21,58,146,147,125,89
train,crazing_138.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_138.jpg,C:\NEU-DET\crops\train\crazing\crazing_138_obj01_crazing.jpg,56,19,115,66,51,14,120,71,69,57
train,crazing_139.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_139.jpg,C:\NEU-DET\crops\train\crazing\crazing_139_obj00_crazing.jpg,1,5,99,70,0,0,104,75,104,75
train,crazing_139.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_139.jpg,C:\NEU-DET\crops\train\crazing\crazing_139_obj01_crazing.jpg,7,83,97,136,2,78,102,141,100,63
train,crazing_14.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_14.jpg,C:\NEU-DET\crops\train\crazing\crazing_14_obj00_crazing.jpg,22,116,108,170,17,111,113,175,96,64
train,crazing_140.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_140.jpg,C:\NEU-DET\crops\train\crazing\crazing_140_obj00_crazing.jpg,27,115,145,185,22,110,150,190,128,80
train,crazing_140.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_140.jpg,C:\NEU-DET\crops\train\crazing\crazing_140_obj01_crazing.jpg,146,3,194,164,141,0,199,169,58,169
train,crazing_141.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_141.jpg,C:\NEU-DET\crops\train\crazing\crazing_141_obj00_crazing.jpg,4,34,58,134,0,29,63,139,63,110
train,crazing_141.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_141.jpg,C:\NEU-DET\crops\train\crazing\crazing_141_obj01_crazing.jpg,73,117,198,157,68,112,200,162,132,50
train,crazing_142.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_142.jpg,C:\NEU-DET\crops\train\crazing\crazing_142_obj00_crazing.jpg,2,143,100,178,0,138,105,183,105,45
train,crazing_142.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_142.jpg,C:\NEU-DET\crops\train\crazing\crazing_142_obj01_crazing.jpg,121,109,185,164,116,104,190,169,74,65
train,crazing_142.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_142.jpg,C:\NEU-DET\crops\train\crazing\crazing_142_obj02_crazing.jpg,2,83,84,135,0,78,89,140,89,62
train,crazing_143.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_143.jpg,C:\NEU-DET\crops\train\crazing\crazing_143_obj00_crazing.jpg,12,104,95,186,7,99,100,191,93,92
train,crazing_143.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_143.jpg,C:\NEU-DET\crops\train\crazing\crazing_143_obj01_crazing.jpg,9,31,137,100,4,26,142,105,138,79
train,crazing_144.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_144.jpg,C:\NEU-DET\crops\train\crazing\crazing_144_obj00_crazing.jpg,42,24,189,71,37,19,194,76,157,57
train,crazing_144.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_144.jpg,C:\NEU-DET\crops\train\crazing\crazing_144_obj01_crazing.jpg,50,91,127,157,45,86,132,162,87,76
train,crazing_145.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_145.jpg,C:\NEU-DET\crops\train\crazing\crazing_145_obj00_crazing.jpg,20,9,95,83,15,4,100,88,85,84
train,crazing_145.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_145.jpg,C:\NEU-DET\crops\train\crazing\crazing_145_obj01_crazing.jpg,27,91,164,176,22,86,169,181,147,95
train,crazing_146.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_146.jpg,C:\NEU-DET\crops\train\crazing\crazing_146_obj00_crazing.jpg,43,109,95,193,38,104,100,198,62,94
train,crazing_147.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_147.jpg,C:\NEU-DET\crops\train\crazing\crazing_147_obj00_crazing.jpg,90,117,164,159,85,112,169,164,84,52
train,crazing_147.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_147.jpg,C:\NEU-DET\crops\train\crazing\crazing_147_obj01_crazing.jpg,3,42,72,93,0,37,77,98,77,61
train,crazing_148.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_148.jpg,C:\NEU-DET\crops\train\crazing\crazing_148_obj00_crazing.jpg,4,39,85,97,0,34,90,102,90,68
train,crazing_149.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_149.jpg,C:\NEU-DET\crops\train\crazing\crazing_149_obj00_crazing.jpg,33,5,149,69,28,0,154,74,126,74
train,crazing_149.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_149.jpg,C:\NEU-DET\crops\train\crazing\crazing_149_obj01_crazing.jpg,26,108,154,179,21,103,159,184,138,81
